comb08,comb08U,combE,displ,drive,fuelType,fuelType1,id,make,model,VClass,year,atvType,evMotor,createdOn,modifiedOn
85,0,40,,,Electricity,Electricity,16423,Nissan,Altra EV,Midsize Station Wagons,2000,EV,62 KW AC Induction,Tue Jan 01 00:00:00 EST 2013,Thu Jul 07 00:00:00 EDT 2016
72,0,47,,2-Wheel Drive,Electricity,Electricity,16424,Toyota,RAV4 EV,Sport Utility Vehicle - 2WD,2000,EV,50 KW DC,Tue Jan 01 00:00:00 EST 2013,Thu Jul 07 00:00:00 EDT 2016
72,0,47,,2-Wheel Drive,Electricity,Electricity,17328,Toyota,RAV4 EV,Sport Utility Vehicle - 2WD,2001,EV,50 KW DC,Tue Jan 01 00:00:00 EST 2013,Thu Jul 07 00:00:00 EDT 2016
65,0,52,,,Electricity,Electricity,17329,Ford,Th!nk,Two Seaters,2001,EV,27 KW AC Induction,Tue Jan 01 00:00:00 EST 2013,Thu Jul 07 00:00:00 EDT 2016
39,0,87,,2-Wheel Drive,Electricity,Electricity,17330,Ford,Explorer USPS Electric,Sport Utility Vehicle - 2WD,2001,EV,67 KW AC Induction,Tue Jan 01 00:00:00 EST 2013,Thu Jul 07 00:00:00 EDT 2016
75,0,45,,,Electricity,Electricity,17331,Nissan,Hyper-Mini,Two Seaters,2001,EV,24 KW AC Synchronous,Tue Jan 01 00:00:00 EST 2013,Thu Jul 07 00:00:00 EDT 2016
78,0,43,,2-Wheel Drive,Electricity,Electricity,18290,Toyota,RAV4 EV,Sport Utility Vehicle - 2WD,2002,EV,50 KW DC,Tue Jan 01 00:00:00 EST 2013,Thu Jul 07 00:00:00 EDT 2016
39,0,87,,2-Wheel Drive,Electricity,Electricity,18291,Ford,Explorer USPS Electric,Sport Utility Vehicle - 2WD,2002,EV,67 KW AC Induction,Tue Jan 01 00:00:00 EST 2013,Thu Jul 07 00:00:00 EDT 2016
78,0,43,,2-Wheel Drive,Electricity,Electricity,19296,Toyota,RAV4 EV,Sport Utility Vehicle - 2WD,2003,EV,50 KW DC,Tue Jan 01 00:00:00 EST 2013,Thu Jul 07 00:00:00 EDT 2016
58,0,58,,2-Wheel Drive,Electricity,Electricity,30965,Ford,Ranger Pickup 2WD,Standard Pickup Trucks 2WD,2001,EV,67 KW AC  Induction,Tue Jan 01 00:00:00 EST 2013,Fri Apr 11 00:00:00 EDT 2014
58,0,58,,2-Wheel Drive,Electricity,Electricity,30966,Ford,Ranger Pickup 2WD,Standard Pickup Trucks 2WD,2000,EV,67 KW AC,Tue Jan 01 00:00:00 EST 2013,Fri Apr 11 00:00:00 EDT 2014
56,0,60,,2-Wheel Drive,Electricity,Electricity,30967,Ford,Ranger Pickup 2WD,Standard Pickup Trucks 2WD,2000,EV,67 KW AC,Tue Jan 01 00:00:00 EST 2013,Fri Apr 11 00:00:00 EDT 2014
85,0,40,,,Electricity,Electricity,30968,GMC,EV1,Two Seaters,1999,EV,102kW AC Induction,Tue Jan 01 00:00:00 EST 2013,Fri Apr 11 00:00:00 EDT 2014
37,0,91,,,Electricity,Electricity,30969,GMC,EV1,Two Seaters,1999,EV,102kW AC Induction,Tue Jan 01 00:00:00 EST 2013,Fri Apr 11 00:00:00 EDT 2014
48,0,71,,,Electricity,Electricity,30970,Honda,EV Plus,Compact Cars,1999,EV,49kW DC Brushless,Tue Jan 01 00:00:00 EST 2013,Fri Apr 11 00:00:00 EDT 2014
58,0,58,,2-Wheel Drive,Electricity,Electricity,30971,Ford,Ranger Pickup 2WD,Standard Pickup Trucks 2WD,1999,EV,67 KW AC  Induction,Tue Jan 01 00:00:00 EST 2013,Tue Apr 10 00:00:00 EDT 2018
47,0,72,,2-Wheel Drive,Electricity,Electricity,30972,Ford,Ranger Pickup 2WD,Standard Pickup Trucks 2WD,1999,EV,67 KW AC,Tue Jan 01 00:00:00 EST 2013,Tue Apr 10 00:00:00 EDT 2018
35,0,96,,2-Wheel Drive,Electricity,Electricity,30973,Dodge,Caravan/Grand Caravan 2WD,Minivan - 2WD,1999,EV,56kW AC Induction,Tue Jan 01 00:00:00 EST 2013,Fri Apr 11 00:00:00 EDT 2014
35,0,96,,Front-Wheel Drive,Electricity,Electricity,30974,Plymouth,Voyager/Grand Voyager 2WD,Minivan - 2WD,1999,EV,56kW AC Induction,Tue Jan 01 00:00:00 EST 2013,Fri Apr 11 00:00:00 EDT 2014
48,0,71,,,Electricity,Electricity,30975,Honda,EV Plus,Compact Cars,1998,EV,49 kW DC Brushless,Tue Jan 01 00:00:00 EST 2013,Fri Apr 11 00:00:00 EDT 2014
55,0,62,,2-Wheel Drive,Electricity,Electricity,30976,Chevrolet,S10 Electric,Small Pickup Trucks 2WD,1998,EV,85 kW AC Induction,Tue Jan 01 00:00:00 EST 2013,Fri Apr 11 00:00:00 EDT 2014
28,0,121,,2-Wheel Drive,Electricity,Electricity,30977,Chevrolet,S10 Electric,Small Pickup Trucks 2WD,1998,EV,85 kW AC Induction,Tue Jan 01 00:00:00 EST 2013,Fri Apr 11 00:00:00 EDT 2014
98,0,34,,,Electricity,Electricity,30978,MINI,MiniE,Minicompact Cars,2008,EV,150 kW,Tue Jan 01 00:00:00 EST 2013,Thu Jul 07 00:00:00 EDT 2016
99,0,34,,Front-Wheel Drive,Electricity,Electricity,30979,Nissan,Leaf,Midsize Cars,2011,EV,80 kW DCPM,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016
87,0,39,,Rear-Wheel Drive,Electricity,Electricity,31064,smart,fortwo electric drive cabriolet,Two Seaters,2011,EV,30 kW DCPM,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016
87,0,39,,Rear-Wheel Drive,Electricity,Electricity,31065,smart,fortwo electric drive coupe,Two Seaters,2011,EV,30 kW DCPM,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016
112,112.2,30,,Rear-Wheel Drive,Electricity,Electricity,31673,Mitsubishi,i-MiEV,Subcompact Cars,2012,EV,49 kW DCPM,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016
62,62,54,,Front-Wheel Drive,Electricity,Electricity,31893,Azure Dynamics,Transit Connect Electric Van,Special Purpose Vehicle 2WD,2012,EV,52 kW AC Induction,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016
62,62,54,,Front-Wheel Drive,Electricity,Electricity,31894,Azure Dynamics,Transit Connect Electric Wagon,Special Purpose Vehicle 2WD,2012,EV,52 kW AC Induction,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016
99,0,34,,Front-Wheel Drive,Electricity,Electricity,32154,Nissan,Leaf,Midsize Cars,2012,EV,80 kW DCPM,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016
